galaxy,radius_kpc,delta_v2,delta_sign,vobs,vbar,W,r_norm,radial_bin
DDO154,1.97,865.8959999999997,positive,34.3,17.623677255328978,2.7878709826976693,0.3327702702702703,inner_disk
DDO154,2.47,1137.4547000000002,positive,38.2,17.938375065763342,3.5348249282984656,0.41722972972972977,mid_disk
DDO154,2.96,1417.6544,positive,42.0,18.61036270468687,4.093178605416092,0.5,mid_disk
DDO154,3.46,1609.3431,positive,44.6,19.48889170784219,4.237155060767438,0.5844594594594594,mid_disk
DDO154,3.95,1762.5489999999995,positive,46.3,19.52283278625313,4.624401468223043,0.6672297297297297,outer_disk
DDO154,4.44,1888.0655,positive,47.4,18.93923176900267,5.2637146652652875,0.7500000000000001,outer_disk
DDO154,4.94,1989.1430000000005,positive,48.2,18.27832049177385,5.9537888696995225,0.8344594594594595,edge
DDO154,5.43,1938.8191,positive,47.4,17.548244926487662,6.296075318348423,0.9172297297297297,edge
DDO154,5.92,1786.4528,positive,45.5,16.8462814888034,6.294821795281981,1.0,edge
DDO161,0.6,50.9795,positive,16.0,14.318536936433135,0.2486556222426538,0.04487658937920718,core
DDO161,0.73,7.417200000000093,positive,16.6,16.375066412079065,0.02766138042863763,0.054599850411368736,core
DDO161,0.85,26.2971,positive,18.6,17.879119105817267,0.0822650986398484,0.06357516828721017,core
DDO161,0.98,1.2703000000000202,positive,20.0,19.96821724641436,0.003185867518772795,0.07329842931937174,core
DDO161,1.07,5.866199999999878,positive,21.4,21.26249750146958,0.012975625854634321,0.08002991772625281,core
DDO161,1.54,100.0079999999998,positive,28.9,27.1146086086449,0.136027921578015,0.11518324607329844,core
DDO161,2.02,110.2159999999999,positive,32.9,31.18002565746218,0.11336831949178858,0.1510845175766642,core
DDO161,2.49,107.70710000000008,positive,35.2,33.63529247680181,0.09520371943572051,0.18623784592370982,core
DDO161,2.96,195.28150000000005,positive,37.6,34.90671138907245,0.1602666768432927,0.22139117427075544,inner_disk
DDO161,3.43,400.5623000000001,positive,40.6,35.32418010371932,0.3210154178037034,0.2565445026178011,inner_disk
DDO161,3.9,541.4055000000001,positive,42.7,35.80341464162322,0.42235123367198846,0.2916978309648467,inner_disk
DDO161,4.37,776.6570999999999,positive,45.5,35.96655251758222,0.600387571700494,0.32685115931189235,inner_disk
DDO161,4.86,1096.1936,positive,48.9,35.986336295877635,0.8464708246165841,0.3635003739715782,inner_disk
DDO161,5.34,1364.0178,positive,51.5,35.891951744088814,1.0588291458636105,0.3994016454749439,inner_disk
DDO161,5.81,1536.3119000000002,positive,53.0,35.67475437897225,1.2071393611679093,0.43455497382198954,mid_disk
DDO161,6.28,1750.02,positive,55.0,35.70686208559918,1.3725862366468493,0.4697083021690352,mid_disk
DDO161,6.75,2038.963,positive,57.6,35.760271251767655,1.5944383666836874,0.5048616305160808,mid_disk
DDO161,7.22,2270.4156000000003,positive,59.7,35.96768549684563,1.7550131625082794,0.5400149588631264,mid_disk
DDO161,7.69,2338.3676,positive,60.5,36.35770069737634,1.7689679505529392,0.5751682872101721,mid_disk
DDO161,8.16,2465.2328,positive,61.8,36.79683682057468,1.8206940110805903,0.6103216155572176,outer_disk
DDO161,8.64,2585.8395,positive,62.9,37.021216889778216,1.8866884264618278,0.6462228870605835,outer_disk
DDO161,9.11,2577.8035,positive,63.0,37.29874662773536,1.852939897419236,0.681376215407629,outer_disk
DDO161,9.58,2775.752,positive,64.5,37.20884303495609,2.004879747027442,0.7165295437546747,outer_disk
DDO161,10.05,2933.7752,positive,65.6,37.007901858927376,2.142090946102789,0.7516828721017204,outer_disk
DDO161,10.52,3238.641,positive,67.5,36.29888428037424,2.457968183277437,0.7868362004487659,outer_disk
DDO161,10.99,3203.964,positive,66.8,35.47218628728712,2.5463125737119667,0.8219895287958116,edge
DDO161,11.46,3270.7114999999994,positive,66.8,34.518524012477705,2.7449712700955113,0.8571428571428572,edge
DDO161,11.94,3308.0890999999992,positive,66.6,33.57783346197309,2.93407936293522,0.893044128646223,edge
DDO161,12.41,3396.1979999999994,positive,66.8,32.650298620380184,3.1858013098921045,0.9281974569932686,edge
DDO161,12.9,3380.4742999999994,positive,66.3,31.86244968611171,3.3298089263197945,0.9648466716529545,edge
DDO161,13.37,3411.1258,positive,66.1,30.952935240458213,3.560361187461394,1.0,edge
DDO168,0.41,48.07350000000002,positive,15.0,13.301372109673498,0.2717145255233106,0.09951456310679611,core
DDO168,0.82,60.398000000000025,positive,23.4,22.071746645881923,0.12397929230933455,0.19902912621359223,core
DDO168,1.24,220.7198,positive,29.2,25.138022993067693,0.34928429254200133,0.30097087378640774,inner_disk
DDO168,1.64,646.7199000000003,positive,36.2,25.762765767673315,0.9743864921372734,0.39805825242718446,inner_disk
DDO168,2.06,1166.7279,positive,44.0,27.73575490229173,1.5166647796013926,0.5,mid_disk
DDO168,2.47,1912.2722000000003,positive,52.1,28.32203735609428,2.3839696870039044,0.5995145631067962,mid_disk
DDO168,2.89,1983.0474,positive,52.9,28.55455480304324,2.4321049309840808,0.7014563106796117,outer_disk
DDO168,3.3,2190.4362999999994,positive,54.8,28.50620458777352,2.695577561362321,0.8009708737864077,edge
DDO168,3.71,2213.4268,positive,55.0,28.488123841348344,2.727328600796577,0.9004854368932038,edge
DDO168,4.12,1918.9155,positive,52.0,28.01935937882949,2.4442152405250646,1.0,edge
DDO170,1.87,361.0714999999999,positive,27.7,20.15486293677037,0.8888603054759936,0.15166261151662613,core
DDO170,3.36,1180.5926,positive,42.4,24.84285410334328,1.912921194476571,0.2725060827250608,inner_disk
DDO170,4.86,1934.6983,positive,52.5,28.66272317837229,2.3549318929046095,0.39416058394160586,inner_disk
DDO170,6.35,2118.219,positive,55.6,31.195207965326983,2.1766825156888876,0.5150040551500406,mid_disk
DDO170,7.85,2358.1323,positive,58.6,32.79981249946408,2.191923762513272,0.6366585563665855,outer_disk
DDO170,9.34,2416.1319,positive,59.0,32.63231680405178,2.2689494595621738,0.7575020275750203,outer_disk
DDO170,10.83,2625.7646,positive,60.0,31.21274419207641,2.695205491403824,0.878345498783455,edge
DDO170,12.33,3023.5299000000005,positive,62.2,29.074217100379503,3.576829260646478,1.0,edge
ESO079-G014,0.41,259.2534000000003,positive,33.2,29.03423152074117,0.3075415433649838,0.024595080983803235,core
ESO079-G014,0.98,254.9518999999996,positive,50.4,47.803850263341765,0.11156616327414537,0.058788242351529685,core
ESO079-G014,1.78,-995.5206000000004,negative,53.9,62.455829191517424,-0.25521388224041935,0.10677864427114576,core
ESO079-G014,2.69,-1200.572900000001,negative,67.6,75.96270729772604,-0.20805955580136473,0.16136772645470904,core
ESO079-G014,3.36,-167.86649999999827,negative,81.7,82.7209556279423,-0.024531999640787786,0.2015596880623875,inner_disk
ESO079-G014,4.39,2771.298999999999,positive,102.0,87.36533065238179,0.3630823479132746,0.2633473305338932,inner_disk
ESO079-G014,5.65,4859.3771,positive,116.0,92.71797506416974,0.5652658208376221,0.33893221355728853,inner_disk
ESO079-G014,6.34,8067.035500000002,positive,132.0,96.73140389759676,0.8621423646525541,0.3803239352129574,inner_disk
ESO079-G014,6.89,8521.8222,positive,137.0,101.22834484471234,0.8316262649409676,0.4133173365326934,mid_disk
ESO079-G014,8.34,10466.411,positive,154.0,115.10685904845114,0.7899423144370743,0.5002999400119975,mid_disk
ESO079-G014,10.04,9413.0687,positive,163.0,130.9806523880531,0.5486772204549455,0.6022795440911817,outer_disk
ESO079-G014,11.65,10156.2094,positive,170.0,136.90796397580382,0.5418439427081522,0.698860227954409,outer_disk
ESO079-G014,13.36,11628.2199,positive,175.0,137.8288072211321,0.6121153078989423,0.8014397120575883,edge
ESO079-G014,15.06,13260.243500000004,positive,177.0,134.42007476563907,0.7338769272805246,0.9034193161367726,edge
ESO079-G014,16.67,14611.466999999995,positive,178.0,130.66190339957552,0.855846464024992,1.0,edge
ESO116-G012,0.25,136.4327,positive,20.9,17.33139636613276,0.4542044288965913,0.025354969574036514,core
ESO116-G012,0.83,374.5583999999999,positive,40.0,35.00630800298712,0.30565177483774003,0.08417849898580122,core
ESO116-G012,1.38,14.051899999999478,positive,51.5,51.36339260601854,0.005326324812378371,0.13995943204868153,core
ESO116-G012,1.85,774.717000000001,positive,67.9,61.93297183245771,0.20197575770532233,0.18762677484787021,core
ESO116-G012,2.68,2615.7483000000007,positive,80.2,61.776141834854016,0.6854162379673441,0.2718052738336714,inner_disk
ESO116-G012,3.19,2670.2186999999994,positive,83.3,65.33506944972203,0.6255386072944991,0.3235294117647059,inner_disk
ESO116-G012,3.68,3703.104300000001,positive,91.4,68.19718249312064,0.7962199945270289,0.3732251521298175,inner_disk
ESO116-G012,4.13,5507.9215,positive,102.0,69.97198367918405,1.1249659293657162,0.41886409736308317,mid_disk
ESO116-G012,5.23,6205.2727,positive,105.0,69.42425584765024,1.287473816205328,0.5304259634888439,mid_disk
ESO116-G012,6.05,7525.9935,positive,109.0,65.99247305564477,1.7281245160024443,0.6135902636916836,outer_disk
ESO116-G012,6.81,7740.236,positive,108.0,62.639955300111765,1.9726558478032827,0.6906693711967545,outer_disk
ESO116-G012,7.56,8064.4779,positive,109.0,61.77800660429244,2.113043679217788,0.7667342799188641,outer_disk
ESO116-G012,8.32,8336.1387,positive,110.0,61.35031621760397,2.2147837116102016,0.8438133874239352,edge
ESO116-G012,9.09,8652.6135,positive,111.0,60.56720647347044,2.3586973455496034,0.9219066937119675,edge
ESO116-G012,9.86,9258.2168,positive,112.0,57.32175154337139,2.817659059185645,1.0,edge
ESO444-G084,0.26,244.7658,positive,18.3,9.493376638478008,2.715872096506821,0.05855855855855856,core
ESO444-G084,0.77,893.9433999999997,positive,35.3,18.76556953572153,2.538554681487766,0.1734234234234234,core
ESO444-G084,1.29,1802.8259,positive,47.8,21.954819516452417,3.74019328480225,0.2905405405405405,inner_disk
ESO444-G084,1.81,2239.1035,positive,52.8,23.4251253998778,4.080471227993764,0.40765765765765766,mid_disk
ESO444-G084,2.32,2809.5935,positive,58.0,23.545838273461406,5.067749927174374,0.5225225225225224,mid_disk
ESO444-G084,3.39,3579.797,positive,63.1,20.045273757172787,8.909111950086235,0.7635135135135135,outer_disk
ESO444-G084,4.44,3649.7266,positive,62.7,16.779851012449424,12.962361585348098,1.0,edge
ESO563-G021,0.45,-3892.5261,negative,18.9,65.19,-0.9159453689371441,0.010610705022400378,core
ESO563-G021,1.34,-11041.9389,negative,58.3,120.17,-0.7646333168589788,0.03159632162225891,core
ESO563-G021,2.23,-13409.940399999998,negative,74.1,137.48,-0.7094924866051879,0.05258193822211743,core
ESO563-G021,3.12,-7207.592400000001,negative,119.0,146.18,-0.3372984174661875,0.07356755482197595,core
ESO563-G021,4.01,-5038.779600000005,negative,141.0,157.86,-0.2022000066164311,0.09455317142183448,core
ESO563-G021,4.9,7122.875900000003,positive,195.0,175.79,0.23049793848960703,0.11553878802169301,core
ESO563-G021,5.79,11852.3439,positive,227.0,199.19,0.2987233568808738,0.13652440462155152,core
ESO563-G021,6.69,13048.663099999998,positive,246.0,217.87,0.27489772867371454,0.1577458146663523,core
ESO563-G021,7.58,19543.1775,positive,268.0,228.65,0.373811592195207,0.17873143126621083,core
ESO563-G021,8.47,21641.102400000003,positive,283.0,241.76,0.37026314527350945,0.19971704786606936,core
ESO563-G021,10.23,16591.316399999996,positive,291.0,260.94,0.24366857830427627,0.24121669417590194,inner_disk
ESO563-G021,12.06,20452.99679999998,positive,310.0,275.0400029086679,0.2703741844990889,0.28436689460033016,inner_disk
ESO563-G021,13.44,18826.959599999987,positive,310.0,277.9802877903396,0.24364201929344528,0.31690639000235793,inner_disk
ESO563-G021,15.18,16425.265400000004,positive,310.0,282.2671334038024,0.20615400204922688,0.35793444942230607,inner_disk
ESO563-G021,16.83,18089.678700000004,positive,314.0,283.7363587910439,0.22469886100732814,0.3968403678377741,inner_disk
ESO563-G021,18.56,23528.470999999976,positive,317.0,277.4176075882712,0.3057212743431112,0.43763263381278,mid_disk
ESO563-G021,20.3,26580.6403,positive,319.0,274.1903712751416,0.3535583017435337,0.4786606932327282,mid_disk
ESO563-G021,21.94,25464.695600000006,positive,318.0,275.0623645648383,0.336570575184934,0.517330818203254,mid_disk
ESO563-G021,23.68,25289.895500000013,positive,317.0,274.2245512349323,0.33630580667353577,0.5583588776232021,mid_disk
ESO563-G021,25.41,30020.77519999999,positive,317.0,265.4585180400132,0.4260186103056194,0.599151143598208,mid_disk
ESO563-G021,27.06,31207.415000000008,positive,312.0,257.17034238029856,0.47186311479493553,0.6380570620136761,outer_disk
ESO563-G021,28.8,36018.950300000004,positive,312.0,247.63895028851985,0.587344820366285,0.6790851214336242,outer_disk
ESO563-G021,30.53,40002.9711,positive,311.0,238.15547211853016,0.7052955096611265,0.7198773874086302,outer_disk
ESO563-G021,32.18,42838.5326,positive,310.0,230.78446091537447,0.8043062779002592,0.7587833058240981,outer_disk
ESO563-G021,33.91,47658.1459,positive,313.0,224.30081163473304,0.9472736401030412,0.799575571799104,outer_disk
ESO563-G021,35.65,55000.39749999999,positive,320.0,217.71449767987437,1.1603556696493387,0.8406036312190521,edge
ESO563-G021,37.3,57963.2886,positive,321.0,212.31512287164097,1.2858525155738052,0.8795095496345202,edge
ESO563-G021,39.03,59717.60549999999,positive,320.0,206.59717931278732,1.399115635370457,0.9203018156095262,edge
ESO563-G021,40.76,58701.1079,positive,315.0,201.3054696226608,1.4485555275674022,0.961094081584532,edge
ESO563-G021,42.41,58546.04380000001,positive,312.0,196.97196805637088,1.5089981415051965,1.0,edge
F561-1,1.61,-298.11620000000005,negative,23.4,29.080512375128468,-0.35251813873915344,0.16666666666666669,core
F561-1,3.23,124.3787000000002,positive,40.6,39.03820308364615,0.08161432164554788,0.33436853002070394,inner_disk
F561-1,4.84,294.63589999999976,positive,45.5,42.138036261790845,0.1659346476241655,0.5010351966873706,mid_disk
F561-1,6.45,45.27630000000045,positive,49.2,48.7377030644654,0.01906078635452771,0.6677018633540373,outer_disk
F561-1,8.06,-488.4713000000006,negative,50.4,55.03300191703157,-0.16128450498414929,0.834368530020704,edge
F561-1,9.66,-760.3012000000003,negative,50.4,57.44964055588164,-0.23036210818051733,1.0,edge
F563-V1,1.31,-0.0392000000000223,negative,12.0,12.001633222191057,-0.0002721481374516262,0.16645489199491742,core
F563-V1,2.63,93.6518999999999,positive,21.7,19.422618258103103,0.24825673758827618,0.3341804320203304,inner_disk
F563-V1,3.93,79.76780000000008,positive,28.6,27.16969267400719,0.10805830784990694,0.49936467598475226,mid_disk
