galaxy,radial_bin,n_points,mean_W,mean_abs_W,max_abs_W,frac_W_neg,frac_W_gt_1
F579-V1,mid_disk,3,1.2218021110678912,1.2218021110678912,1.2868629156063087,0.0,1.0
F579-V1,outer_disk,2,1.137742079463007,1.137742079463007,1.138015585271566,0.0,1.0
F579-V1,edge,2,1.4066946644674454,1.4066946644674454,1.5319580309837548,0.0,1.0
F583-1,core,11,2.5183802955891523,2.5812900235708747,7.2448865921960595,0.09090909090909091,0.6363636363636364
F583-1,inner_disk,9,4.8665906702203365,4.8665906702203365,5.265089075921881,0.0,1.0
F583-1,mid_disk,2,4.791340300342005,4.791340300342005,4.950500337095016,0.0,1.0
F583-1,outer_disk,1,3.8137797177888264,3.8137797177888264,3.8137797177888264,0.0,1.0
F583-1,edge,2,3.008814285361731,3.008814285361731,3.0518059153412125,0.0,1.0
F583-4,core,3,1.559923412541095,1.559923412541095,2.6381836092662607,0.0,0.6666666666666666
F583-4,inner_disk,1,0.7118971920901335,0.7118971920901335,0.7118971920901335,0.0,0.0
F583-4,mid_disk,2,1.0326766683423871,1.0326766683423871,1.0960517857735443,0.0,0.5
F583-4,outer_disk,3,1.312524823658497,1.312524823658497,1.390834716370649,0.0,1.0
F583-4,edge,3,1.7379617249356318,1.7379617249356318,2.0517525836942685,0.0,1.0
IC2574,core,5,0.279711308172285,0.279711308172285,0.41204417025670764,0.0,0.0
IC2574,inner_disk,7,1.356224649508786,1.356224649508786,2.1725008212834966,0.0,0.7142857142857143
IC2574,mid_disk,7,1.2791665608735698,1.2791665608735698,1.5957233834929838,0.0,1.0
IC2574,outer_disk,7,1.7534807755495738,1.7534807755495743,2.114362735379423,0.0,1.0
IC2574,edge,8,2.2872304085127113,2.2872304085127113,2.6025694358869176,0.0,1.0
IC4202,core,6,-0.45422282547353854,0.4542228254735385,0.93281225588742,1.0,0.0
IC4202,inner_disk,7,0.08371329875692515,0.09300748367388383,0.175587198546515,0.14285714285714285,0.0
IC4202,mid_disk,7,0.018227454641963275,0.043108401245952686,0.09304646337646398,0.42857142857142855,0.0
IC4202,outer_disk,6,0.16931665230955098,0.16931665230955104,0.24562694016441142,0.0,0.0
IC4202,edge,6,0.4271264339675869,0.4271264339675869,0.6173310790286386,0.0,0.0
KK98-251,core,3,0.7609644645922522,0.7609644645922522,0.9833680555555557,0.0,0.0
KK98-251,inner_disk,4,0.8228480560012243,0.8228480560012242,0.905071445401209,0.0,0.0
KK98-251,mid_disk,3,0.8871979035824108,0.8871979035824108,1.0622638831126465,0.0,0.3333333333333333
KK98-251,outer_disk,3,1.3549374866256707,1.3549374866256707,1.453533366470055,0.0,1.0
KK98-251,edge,2,1.4883689601168777,1.4883689601168777,1.5531825720688415,0.0,1.0
NGC0024,core,20,1.0441744920543041,1.0567682539811445,1.7280930399513195,0.05,0.65
NGC0024,inner_disk,5,1.1910723062667965,1.1910723062667967,1.227449717545407,0.0,1.0
NGC0024,mid_disk,0,,,,,
NGC0024,outer_disk,2,2.560123126816495,2.560123126816495,2.956402528675028,0.0,1.0
NGC0024,edge,2,4.495377592948973,4.495377592948973,4.9750935386079185,0.0,1.0
NGC0055,core,3,-0.031262351838633975,0.05282136585947417,0.12612557654716222,0.3333333333333333,0.0
NGC0055,inner_disk,4,0.4617025701409794,0.4617025701409794,0.678400176387169,0.0,0.0
NGC0055,mid_disk,5,0.9944332449647832,0.9944332449647832,1.1785950778059817,0.0,0.6
NGC0055,outer_disk,4,1.1729737723771756,1.1729737723771756,1.2183296856997257,0.0,1.0
NGC0055,edge,5,1.2538579072594351,1.2538579072594354,1.3098876852507848,0.0,1.0
NGC0100,core,4,-0.21849184264356344,0.23648107995399342,0.5079380573696132,0.75,0.0
NGC0100,inner_disk,4,0.2865846943446215,0.2865846943446215,0.46968174337845336,0.0,0.0
NGC0100,mid_disk,5,0.9498869444567536,0.9498869444567536,1.1542592613309017,0.0,0.4
NGC0100,outer_disk,3,1.7374281836699843,1.7374281836699843,2.0203508947246616,0.0,1.0
NGC0100,edge,5,2.66190480963306,2.66190480963306,3.0036365363988433,0.0,1.0
NGC0247,core,4,1.6168854549965508,1.6168854549965508,1.8545532928650676,0.0,1.0
NGC0247,inner_disk,5,1.2367891411349707,1.2367891411349707,1.5268330978891682,0.0,1.0
NGC0247,mid_disk,6,1.2091127127620236,1.2091127127620234,1.3137491601003604,0.0,1.0
NGC0247,outer_disk,5,1.4354693192324497,1.4354693192324497,1.5196403707235207,0.0,1.0
NGC0247,edge,6,1.8474269711858922,1.847426971185892,2.194426513946536,0.0,1.0
NGC0289,core,9,-0.16583839531078967,0.28647916793910044,0.38948900876810777,0.7777777777777778,0.0
NGC0289,inner_disk,4,0.5027985011365035,0.5027985011365035,0.636241459714041,0.0,0.0
NGC0289,mid_disk,5,1.377715139504326,1.377715139504326,1.640193737486599,0.0,1.0
NGC0289,outer_disk,5,1.922599418143116,1.922599418143116,2.0289107090453293,0.0,1.0
NGC0289,edge,5,2.27979910416069,2.27979910416069,2.762701345638746,0.0,1.0
NGC0300,core,4,0.478467880192134,0.478467880192134,0.6438118832048858,0.0,0.0
NGC0300,inner_disk,5,1.3198541687384648,1.3198541687384648,1.6691071809855744,0.0,0.6
NGC0300,mid_disk,5,1.7154363923623002,1.7154363923623002,1.9668988739747615,0.0,1.0
NGC0300,outer_disk,5,2.1714100609328617,2.1714100609328613,2.7578914762233695,0.0,1.0
NGC0300,edge,6,3.6023730948745474,3.602373094874547,4.10954732704148,0.0,1.0
NGC0801,core,6,-0.35747239573516265,0.35747239573516265,0.5515692674759936,1.0,0.0
NGC0801,inner_disk,1,-0.1665872571799088,0.1665872571799088,0.1665872571799088,1.0,0.0
NGC0801,mid_disk,2,-0.0717410901465024,0.0717410901465024,0.09730358949655422,1.0,0.0
NGC0801,outer_disk,2,0.15374436961348556,0.15374436961348556,0.23648348470918565,0.0,0.0
NGC0801,edge,2,0.5134569393589383,0.5134569393589383,0.5813086604895532,0.0,0.0
NGC0891,core,3,-0.5486226521904741,0.5486226521904741,0.6754824706311437,1.0,0.0
NGC0891,inner_disk,3,-0.5165331874527254,0.5165331874527254,0.5736367202819256,1.0,0.0
NGC0891,mid_disk,4,-0.326368086564444,0.326368086564444,0.41368940359746686,1.0,0.0
NGC0891,outer_disk,4,-0.12365045310709338,0.12365045310709338,0.17260004871750959,1.0,0.0
NGC0891,edge,4,0.028889380637142536,0.04265566201920056,0.07853652216609813,0.25,0.0
NGC1003,core,6,-0.06110193720622568,0.1465238456801756,0.32050064921564264,0.6666666666666666,0.0
NGC1003,inner_disk,8,1.1019699965815106,1.1019699965815106,1.4365653654332653,0.0,0.75
NGC1003,mid_disk,7,2.2455926063108245,2.245592606310825,2.9840339433187415,0.0,1.0
NGC1003,outer_disk,7,4.195748212641751,4.195748212641751,5.175608824534899,0.0,1.0
NGC1003,edge,8,5.31978778457515,5.31978778457515,5.9951354527532805,0.0,1.0
NGC1090,core,5,-0.43157421908608457,0.4392439976200553,0.8163282468747504,0.8,0.0
NGC1090,inner_disk,5,0.002683908393730022,0.052067514027039775,0.08089246208711082,0.6,0.0
NGC1090,mid_disk,4,0.11394824544642454,0.11394824544642454,0.2145998675616226,0.0,0.0
NGC1090,outer_disk,5,0.45524835598694535,0.45524835598694546,0.6169430881111397,0.0,0.0
NGC1090,edge,5,0.7442869996723518,0.7442869996723518,0.8264044127814092,0.0,0.0
NGC1705,core,3,1.118821397808075,1.118821397808075,1.3746448798803697,0.0,0.6666666666666666
NGC1705,inner_disk,2,2.171012418822759,2.171012418822759,2.4489024555731738,0.0,1.0
NGC1705,mid_disk,3,3.8105710652121374,3.8105710652121374,4.521611103143669,0.0,1.0
NGC1705,outer_disk,3,6.006065591052575,6.006065591052575,6.615111861595258,0.0,1.0
NGC1705,edge,3,7.535022146030296,7.535022146030296,7.773537613587472,0.0,1.0
NGC2366,core,5,-0.08117277770254389,0.13564173016862707,0.29567717062159105,0.6,0.0
NGC2366,inner_disk,5,0.7608956950774184,0.7608956950774184,1.0881548685976885,0.0,0.4
NGC2366,mid_disk,5,1.6107434085625787,1.6107434085625787,1.809729473537394,0.0,1.0
NGC2366,outer_disk,5,1.9953831690836625,1.9953831690836625,2.15112675819321,0.0,1.0
NGC2366,edge,6,1.7546126446996382,1.7546126446996377,1.8960233442029528,0.0,1.0
NGC2683,core,2,-0.2463561487272289,0.2463561487272289,0.28076303557801546,1.0,0.0
NGC2683,inner_disk,2,0.046335168003195926,0.046335168003195926,0.08597478577769509,0.0,0.0
NGC2683,mid_disk,3,0.39501282267677124,0.39501282267677124,0.6016383029537449,0.0,0.0
NGC2683,outer_disk,1,0.3947756255136299,0.3947756255136299,0.3947756255136299,0.0,0.0
NGC2683,edge,3,1.1062600538504979,1.1062600538504979,1.1880573963700376,0.0,1.0
NGC2841,core,25,0.22872237968631356,0.23142057654585724,0.38780710632928034,0.04,0.0
NGC2841,inner_disk,6,0.8226949034258206,0.8226949034258206,1.137370204787588,0.0,0.3333333333333333
NGC2841,mid_disk,6,1.681198505947265,1.681198505947265,1.9657229576910775,0.0,1.0
NGC2841,outer_disk,6,2.2437029654581884,2.2437029654581884,2.8131574024542485,0.0,1.0
NGC2841,edge,7,3.4389669330182033,3.4389669330182033,3.9117810069856835,0.0,1.0
NGC2903,core,13,-0.5410619048977621,0.5410619048977621,0.9505273747355235,1.0,0.0
NGC2903,inner_disk,5,-0.17132433487887416,0.1713243348788742,0.3331675052470873,1.0,0.0
NGC2903,mid_disk,5,0.20057193864251027,0.20057193864251027,0.32572297347544155,0.0,0.0
NGC2903,outer_disk,5,0.5631905114750066,0.5631905114750066,0.7180436600449158,0.0,0.0
NGC2903,edge,6,0.9313944137079234,0.9313944137079234,1.124684276998631,0.0,0.3333333333333333
NGC2915,core,5,-0.13609197160031355,0.6509941912246845,1.0537853316896426,0.6,0.2
NGC2915,inner_disk,6,4.291385956627936,4.291385956627936,5.7105854546435655,0.0,1.0
NGC2915,mid_disk,6,7.04492991648992,7.04492991648992,8.082332313017394,0.0,1.0
NGC2915,outer_disk,7,8.223587059922652,8.223587059922652,8.723173716507402,0.0,1.0
NGC2915,edge,6,9.462319794143454,9.462319794143454,10.091944881309628,0.0,1.0
NGC2955,core,9,-0.2812020297855583,0.2812020297855583,0.3799098050237988,1.0,0.0
NGC2955,inner_disk,8,-0.27666156941688386,0.27666156941688386,0.4312226728611636,1.0,0.0
NGC2955,mid_disk,2,0.0028826403623951283,0.0223045947586245,0.02518723512101963,0.5,0.0
NGC2955,outer_disk,3,0.07791232115938959,0.07791232115938959,0.13020949963122433,0.0,0.0
NGC2955,edge,2,0.14602248091592834,0.14602248091592834,0.16787076185380007,0.0,0.0
NGC2976,core,6,-0.3593988327111303,0.3593988327111303,0.68031857526064,1.0,0.0
NGC2976,inner_disk,6,-0.12336832074981967,0.12336832074981967,0.22005530411915594,1.0,0.0
NGC2976,mid_disk,7,-0.07302313643133478,0.07302313643133476,0.18525221266583775,1.0,0.0
NGC2976,outer_disk,5,-0.0859712418531495,0.0859712418531495,0.10793992288380816,1.0,0.0
NGC2976,edge,3,0.11532045849001253,0.11532045849001253,0.19309088239598585,0.0,0.0
NGC2998,core,6,0.7312788472119388,0.7781608621422115,3.079384623318689,0.16666666666666666,0.16666666666666666
NGC2998,inner_disk,1,-0.014669786672458735,0.014669786672458735,0.014669786672458735,1.0,0.0
NGC2998,mid_disk,2,0.21472860892103915,0.21472860892103915,0.3483611580889099,0.0,0.0
NGC2998,outer_disk,2,0.6084595090530303,0.6084595090530303,0.6840032879357809,0.0,0.0
NGC2998,edge,2,0.9280159031966315,0.9280159031966315,0.9555035509432306,0.0,0.0
NGC3109,core,5,2.705087605395609,2.705087605395609,3.668872570001449,0.0,1.0
NGC3109,inner_disk,5,3.244332283481036,3.244332283481036,3.7942462144366473,0.0,1.0
NGC3109,mid_disk,5,4.609797368463316,4.609797368463316,5.154919941135062,0.0,1.0
NGC3109,outer_disk,5,6.079162137105619,6.079162137105619,6.509222998875706,0.0,1.0
NGC3109,edge,5,6.909036010976377,6.909036010976377,7.449970849560411,0.0,1.0
NGC3198,core,23,-0.10664895986218775,0.18357346085157378,0.8513219995492912,0.43478260869565216,0.0
NGC3198,inner_disk,6,0.49004626994489914,0.49004626994489914,0.7953458643806517,0.0,0.0
NGC3198,mid_disk,5,1.2940838025846895,1.2940838025846895,1.5387388959476123,0.0,1.0
NGC3198,outer_disk,4,1.8515270133107569,1.8515270133107569,2.1130598117650523,0.0,1.0
NGC3198,edge,5,2.445527385246981,2.445527385246981,2.6473275288127947,0.0,1.0
NGC3521,core,18,-0.40119003468672443,0.40119003468672443,0.46603926144975893,1.0,0.0
NGC3521,inner_disk,18,-0.33413798016509433,0.33413798016509433,0.4060775075546716,1.0,0.0
NGC3521,mid_disk,1,-0.02381846207384436,0.02381846207384436,0.02381846207384436,1.0,0.0
NGC3521,outer_disk,2,0.26123825334312994,0.26123825334312994,0.33857868008615866,0.0,0.0
NGC3521,edge,2,0.6759835972164974,0.6759835972164974,0.8054616900927904,0.0,0.0
NGC3726,core,2,-0.43724522346920147,0.43724522346920147,0.4555027038577021,1.0,0.0
NGC3726,inner_disk,4,-0.20558696058084042,0.20558696058084042,0.3376479956247026,1.0,0.0
NGC3726,mid_disk,2,-0.12765834968884898,0.12765834968884898,0.13804248056299132,1.0,0.0
NGC3726,outer_disk,1,0.40654353757644396,0.40654353757644396,0.40654353757644396,0.0,0.0
NGC3726,edge,3,1.259379883366206,1.259379883366206,1.440409306929532,0.0,1.0
NGC3741,core,6,1.800241797832175,1.8002417978321752,3.1918273241264243,0.0,0.6666666666666666
NGC3741,inner_disk,6,5.977970925189051,5.977970925189051,7.845932604867922,0.0,1.0
NGC3741,mid_disk,2,8.637110145660719,8.637110145660719,8.776453486657507,0.0,1.0
NGC3741,outer_disk,3,9.41500714483328,9.415007144833282,9.914036966442906,0.0,1.0
NGC3741,edge,4,11.45750198666105,11.45750198666105,12.647491071025835,0.0,1.0
NGC3769,core,4,-0.23145207606837326,0.31921409812079804,0.5237002227773424,0.75,0.0
NGC3769,inner_disk,4,0.6625617936044375,0.6625617936044375,0.8973363836094237,0.0,0.0
NGC3769,mid_disk,1,1.4211679177877827,1.4211679177877827,1.4211679177877827,0.0,1.0
NGC3769,outer_disk,0,,,,,
NGC3769,edge,3,3.0160539412221925,3.0160539412221925,3.0808052187180004,0.0,1.0
NGC3877,core,2,-0.6885011479440932,0.6885011479440932,0.862313618229074,1.0,0.0
NGC3877,inner_disk,3,0.0806003338446613,0.09148450476645652,0.13953717474984548,0.3333333333333333,0.0
NGC3877,mid_disk,2,-0.11274212602823665,0.11274212602823665,0.2138524211916558,1.0,0.0
NGC3877,outer_disk,3,-0.2802144599308853,0.2802144599308853,0.28926078539952416,1.0,0.0
NGC3877,edge,3,-0.26037259350526026,0.26037259350526026,0.29642882057286496,1.0,0.0
NGC3893,core,2,-0.40536619349760067,0.40536619349760067,0.4895446817952288,1.0,0.0
NGC3893,inner_disk,2,-0.10030864090979137,0.10030864090979137,0.17268298396119242,1.0,0.0
NGC3893,mid_disk,2,0.17045986112110117,0.17045986112110117,0.2626171287352728,0.0,0.0
NGC3893,outer_disk,1,0.4684716072007892,0.4684716072007892,0.4684716072007892,0.0,0.0
NGC3893,edge,3,0.6843370490160502,0.6843370490160502,0.7366654330526294,0.0,0.0
NGC3917,core,3,0.011609660762626631,0.3683589720573925,0.5351239669421488,0.3333333333333333,0.0
NGC3917,inner_disk,3,0.6003832377591608,0.6003832377591608,0.8584093560791027,0.0,0.0
NGC3917,mid_disk,4,0.4369033088655099,0.4369033088655099,0.5071416521582416,0.0,0.0
NGC3917,outer_disk,3,0.5489385458334907,0.5489385458334907,0.6019413456802335,0.0,0.0
NGC3917,edge,4,0.8964070164300779,0.8964070164300779,1.1276116989057063,0.0,0.25
NGC3949,core,0,,,,,
NGC3949,inner_disk,2,-0.400731047856896,0.400731047856896,0.41243354467653526,1.0,0.0
