galaxy,mean_abs_W,std_W,max_abs_W,frac_W_gt_1,cluster
F574-2,0.3808483425596963,0.1889645495962189,0.7068911053192543,0.0,0
F579-V1,1.8805083274460384,0.9469480102671592,4.316087579111056,1.0,2
F583-1,3.6643038072183582,1.8433607670451295,7.2448865921960595,0.84,2
F583-4,1.3840400343483816,0.5324979430171659,2.6381836092662607,0.75,2
IC2574,1.4828971679554888,0.6966057500157729,2.6025694358869176,0.7941176470588235,2
IC4202,0.226775208279466,0.3298797409981112,0.93281225588742,0.0,0
KK98-251,1.01849531390931,0.3140741802961754,1.5531825720688417,0.4,0
NGC0024,1.4207492431202695,1.01563762540453,4.975093538607919,0.7586206896551724,2
NGC0055,0.8542202489891493,0.4776264816487134,1.3098876852507848,0.5714285714285714,0
NGC0100,1.20778601993588,1.0981909050159675,3.0036365363988438,0.4761904761904761,2
NGC0247,1.4680027779042617,0.304136565998018,2.194426513946536,1.0,2
NGC0289,1.1603598151799492,1.013898043948018,2.762701345638746,0.5357142857142857,2
NGC0300,1.9824645280073585,1.111536509281782,4.10954732704148,0.76,2
NGC0801,0.291485109986826,0.3438975698058981,0.5813086604895532,0.0,0
NGC0891,0.2870091292051417,0.2411692965201632,0.6754824706311437,0.0,0
NGC1003,2.7039608626667326,2.030055755708208,5.9951354527532805,0.7777777777777778,2
NGC1090,0.3712511382632358,0.4447311092916307,0.8264044127814092,0.0,0
NGC1705,4.268104674139626,2.5213579809332862,7.773537613587472,0.9285714285714286,1
NGC2366,1.270807533948433,0.7945864941889846,2.15112675819321,0.6923076923076923,2
NGC2683,0.4985433535051169,0.5258205754295702,1.1880573963700376,0.2727272727272727,0
NGC2841,1.16687722387523,1.189085210552602,3.911781006985684,0.42,2
NGC2903,0.5087530932617765,0.5920764036235694,1.124684276998631,0.0588235294117647,0
NGC2915,6.187063145971662,3.4185513231952918,10.091944881309628,0.8666666666666667,1
NGC2955,0.2214375807596821,0.1931014963458744,0.4312226728611636,0.0,0
NGC2976,0.1549474985378084,0.1978353971471738,0.68031857526064,0.0,0
NGC2998,0.6296956155282406,0.8247866300235358,3.079384623318689,0.0769230769230769,0
NGC3109,4.709483081084391,1.6914931760921017,7.449970849560411,1.0,2
